Correct Response,Height (deg),Reaction Time (ms),Target,Face Start Time (CPU Uptime),UTC Time
1,1.41,660.3711000028998,2,425461421,1667861030.8151727
1,5.66,621.513799993787,3,425466531,1667861035.9367728
1,8,497.1788000515662,1,425471375,1667861040.7698529
1,2.83,463.94529996579513,2,425476203,1667861045.6023552
1,2,494.80540002370253,3,425481093,1667861050.5000079
1,11.31,629.0608000094071,1,425485718,1667861055.125375
1,16,633.8487000288442,1,425490203,1667861059.6081886
420.69,8,10,4,425563187,1667861132.5897539
420.69,8,10,5,425576562,1667861145.9581923
420.69,8,10,6,425589328,1667861158.7245557
0,21.17,916.4763999837451,5,425664156,1667861233.5500944
1,2,982.1637999815866,4,425668515,1667861237.917846
1,1,1092.746099977754,6,425673906,1667861243.3022647
1,16,811.4516999889165,5,425678609,1667861248.0174928
1,1.41,1183.8666999796405,5,425683109,1667861252.5064976
1,1,804.2932999636978,4,425687890,1667861257.2953174
1,4,818.2507000132464,4,425693031,1667861262.4329534
0,1,-109.0,4,425698093,1667861267.4900997
1,5.66,621.0464999862015,5,425702765,1667861272.1740365
1,8,762.2643000180833,6,425707015,1667861276.4239907
1,21.17,699.5964000201784,4,425711328,1667861280.735344
1,1,798.7608999796212,6,425716484,1667861285.8838685
1,2.83,596.0302000134252,4,425721140,1667861290.5354764
1,1.41,581.4758000164293,4,425725375,1667861294.7713692
1,8,545.109499999322,4,425729593,1667861299.000856
1,4,489.42049999861047,4,425733796,1667861303.1938462
0,1.41,1003.4763999832794,5,425738734,1667861308.1358824
1,21.17,640.0493000368588,6,425744078,1667861313.4741783
1,1.41,747.6798000247218,5,425748750,1667861318.1518629
1,4,672.5827999729663,5,425753937,1667861323.3392417
1,28,612.5987000381574,6,425758046,1667861327.4532645
1,28,578.1722000068985,6,425762656,1667861332.0632646
0,8,851.3515999624506,5,425767390,1667861336.7914286
1,16,675.4640999683179,6,425772296,1667861341.695483
1,21.17,495.62230001576245,6,425777031,1667861346.4296327
1,28,696.7985000195913,4,425782046,1667861351.4486516
1,1,881.1567000197247,4,425786890,1667861356.2902513
1,8,873.1020000381395,5,425791421,1667861360.8260229
1,16,873.6172999455594,5,425796750,1667861366.1453269
0,11.31,507.1333000054583,4,425801250,1667861370.6561174
1,1,736.5845999997109,6,425805156,1667861374.563272
1,16,630.1373999998905,6,425809937,1667861379.3406177
1,21.17,658.1489999629557,4,425815031,1667861384.4325573
1,1.41,1155.3578000133857,5,425819531,1667861388.9358535
1,4,593.7376999612898,5,425825125,1667861394.527032
1,5.66,517.2678000493906,4,425829546,1667861398.9480505
1,11.31,575.1918000136502,6,425834062,1667861403.4678338
1,2.83,614.3169000246562,4,425838203,1667861407.612345
1,1.41,745.684499965515,6,425842875,1667861412.2815404
1,21.17,570.8936999985017,4,425847953,1667861417.3594956
1,8,719.7000000127591,5,425852281,1667861421.6833932
1,28,1040.786200025119,5,425857343,1667861426.7528546
1,11.31,1034.1050999672152,4,425862437,1667861431.8409407
1,8,916.8548999554478,5,425867703,1667861437.1100085
1,2,760.0828999970108,5,425872687,1667861442.0962331
420.69,8,10,7,425945937,1667861515.34664
420.69,8,10,8,425958531,1667861527.9310887
420.69,8,10,9,425971140,1667861540.5465293
0,1,740.6475000283681,7,426043890,1667861613.2902322
1,1.41,813.4767999839969,8,426048218,1667861617.6300263
1,28,708.2943000099622,7,426053203,1667861622.6060526
1,5.66,515.4820000138134,7,426058250,1667861627.6640847
1,28,953.7405000268482,8,426062843,1667861632.2563307
1,11.31,605.2586999689229,9,426067359,1667861636.7655566
1,1,747.6510999808088,7,426071921,1667861641.3278265
1,21.17,508.952200002037,8,426076531,1667861645.9345634
1,16,576.9882999560796,7,426080828,1667861650.2387094
1,2,618.3869999917224,8,426085625,1667861655.0328305
1,8,570.5580000034533,7,426090203,1667861659.6093698
1,2,1090.2339999997057,7,426094421,1667861663.8333337
1,16,549.8361999602057,7,426099296,1667861668.7014098
1,1,674.6292000138201,8,426104000,1667861673.4005902
1,11.31,1119.8286000257358,9,426108625,1667861678.0283017
1,11.31,534.8770000240766,7,426113156,1667861682.5569339
1,2.83,684.7099999981001,9,426118140,1667861687.5514271
1,8,1122.9754000054672,9,426123296,1667861692.703958
0,4,-109.0,9,426128062,1667861697.4741166
1,5.66,568.8483999660239,7,426133218,1667861702.619228
1,1.41,750.8000000347383,7,426137546,1667861706.9491246
1,5.66,716.1964999944903,9,426142515,1667861711.9271348
1,4,723.7422000002116,8,426146875,1667861716.2875204
1,2,582.4763000095263,7,426151656,1667861721.0696545
1,28,554.9559000032023,8,426156687,1667861726.1026237
1,5.66,614.9666999666952,7,426161296,1667861730.7088597
1,1,603.1483999653719,8,426165375,1667861734.7749116
0,2.83,977.6887999582104,7,426170156,1667861739.570025
1,21.17,501.0313000497408,8,426175093,1667861744.505126
0,8,565.2418000358157,9,426180000,1667861749.4141731
1,16,646.2510999958031,7,426184671,1667861754.085354
1,1,718.693100029137,8,426189515,1667861758.9254375
1,16,826.4583999956958,9,426194093,1667861763.505024
0,16,756.455600025598,9,426198968,1667861768.3755991
1,11.31,705.1084999660961,9,426203171,1667861772.586559
1,2,728.4270999920554,7,426208015,1667861777.4277143
1,16,725.9999000201933,9,426213000,1667861782.4129019
1,4,537.9861000077799,7,426217984,1667861787.3852055
1,4,627.5013000089675,9,426222343,1667861791.7569842
1,2.83,1181.851300000213,9,426226484,1667861795.8939881
1,1,1099.1091000000015,9,426232109,1667861801.513106
1,11.31,760.319399993401,9,426237312,1667861806.714644
1,5.66,682.6566000203602,9,426242218,1667861811.625314
1,8,554.962899998296,8,426246531,1667861815.9447167
1,2.83,950.1911999508739,8,426251437,1667861820.8455813
